Algeria | Couscous, chakhchoukha
Andorra | Escudella,
Antigua and Barbuda | Pepperpot, Fungee,
Armenia | Khash, Harissa, Dolma, Khorovats,
Benin | Kuli Kuli,
Botswana | Seswaa,
Brunei | Ambuyat,
Burundi | Boko-Boko,
Comoros | Langouste a la Vanille,
Croatia | Zagorski Štrukli, Mlinci, Brudet, Kulen, Istrian stew,
Cuba | Ropa vieja, Moros y cristianos,
Dominica | Mountain chicken, Fish broth,
Dominican Republic | La bandera, Sancocho,
Ecuador | Encebollado, Fritada, Guatitas, Ceviche,
Equatorial Guinea | Succotash, Peppersoup,
Eritrea | Zigini with injera, Gored gored,
Estonia | Verivorst with Mulgikapsad,
Ethiopia | Kitfo, Doro wat, Injera,
Gabon | Poulet Nyembwe,
Haiti | Red beans and rice, Diri ak djon djon
Italy | Pasta, Polenta, Pizza, Risotto, Lasagna,
Japan | Sushi, Japanese curry, Ramen, Natto, Tempura, Wagyu, Yakiniku, Sukiyaki, Shabu-shabu, Ohaw,
Kiribati | Palusami,
Kosovo | Flija,
Kuwait | Machboos, Morabian, Gabout,
Madagascar | Romazava,
Maldives | Garudhiya,
Malta | Pastizzi, Fenkata,
Marshall Islands | Macadamia nut pie,
Mauritania | Thieboudienne, Couscous,
Mauritius | Octopus Curry, Rougaille, Gateux Piment, Dholl Puri,
Mexico | Taco, Mole poblano, Chiles en nogada,
Montenegro | Kačamak, Priganice, Pršuta, Cicvara, Raštan,
Nigeria | Fufu, Egusi Soup,
Palau | Bat soup,
Rwanda | Ugali,
Saint Kitts and Nevis | Saltfish,
Saint Lucia | Green fig and saltfish,
Samoa | Palusami,
Senegal | Thieboudienne, Poulet Yassa,
Seychelles | Fruit bat soup,
Sierra Leone | Cassava leaves,
Slovakia | Bryndzové halušky,
Slovenia | Ajdovi žganci, Belokranjska povitica, Obara,
Somalia | Canjeero with goat stew, Lanoh,
Spain | Tortilla espanola, Gazpacho, Fabada asturiana, Tombet, ensaïmada, Marmitako, Christorras, Sancocho, Papas arrugadas, Cocido montañés, Pa amb tomaquet, Lechazo asado, Gachas, Pisto, Migas, Empanada, Polbo á feira, Caldo gallego, Cocido madrileño, patatas bravas, Zarangollo, Patatas a la riojana, Paella,
Sri Lanka | Rice and curry, Kottu, Kiribath,
South Sudan | Kisra,
Tajikistan | O'sh,
Thailand | Pad thai, Tom yum goong, Som tam,
Togo | Ablo,
Tonga | Lu pulu,
Trinidad and Tobago | Callaloo, Doubles, Aloo Pie, Roti and Curry, Crab and Dumplings,
Ukraine | Borscht, Varenyky, Chebureki,
Uzbekistan | O'sh,
Vanuatu | Lap lap,
Yemen | Kabsa, Haneeth, Saltah, Mandi,
